iter	Passed	Remaining
0	158	79190
1	183	45787
2	208	34549
3	234	29022
4	261	25857
5	288	23730
6	321	22634
7	347	21393
8	375	20460
9	404	19800
10	431	19175
11	456	18571
12	483	18128
13	511	17744
14	533	17261
15	559	16929
16	583	16583
17	610	16350
18	641	16228
19	671	16112
20	694	15849
21	719	15622
22	741	15388
23	764	15163
24	789	14994
25	813	14834
26	837	14673
27	860	14505
28	886	14398
29	910	14266
30	939	14215
31	962	14069
32	987	13969
33	1010	13847
34	1035	13757
35	1061	13679
36	1084	13567
37	1105	13443
38	1131	13375
39	1156	13299
40	1177	13177
41	1203	13122
42	1228	13056
43	1254	12996
44	1281	12954
45	1304	12879
46	1326	12785
47	1350	12713
48	1375	12662
49	1397	12577
50	1421	12511
51	1446	12462
52	1472	12415
53	1499	12388
54	1526	12349
55	1551	12302
56	1575	12243
57	1609	12267
58	1641	12270
59	1674	12279
60	1700	12237
61	1727	12203
62	1753	12164
63	1780	12131
64	1812	12130
65	1844	12126
66	1870	12085
67	1896	12048
68	1922	12008
69	1943	11938
70	1970	11908
71	2000	11889
72	2030	11877
73	2059	11857
74	2086	11821
75	2115	11801
76	2139	11754
77	2163	11704
78	2189	11666
79	2217	11641
80	2249	11635
81	2281	11631
82	2316	11639
83	2352	11652
84	2383	11636
85	2411	11610
86	2440	11584
87	2470	11565
88	2500	11547
89	2528	11519
90	2555	11487
91	2583	11458
92	2608	11414
93	2631	11365
94	2657	11328
95	2682	11289
96	2706	11244
97	2726	11185
98	2749	11135
99	2771	11086
100	2796	11046
101	2821	11011
102	2849	10982
103	2871	10932
104	2894	10888
105	2917	10843
106	2941	10805
107	2967	10769
108	2993	10738
109	3020	10709
110	3045	10672
111	3066	10622
112	3094	10598
113	3123	10574
114	3144	10527
115	3170	10496
116	3198	10469
117	3226	10443
118	3251	10411
119	3275	10373
120	3300	10337
121	3324	10300
122	3351	10273
123	3374	10231
124	3393	10181
125	3418	10148
126	3441	10109
127	3468	10081
128	3498	10062
129	3529	10044
130	3556	10016
131	3580	9980
132	3606	9951
133	3630	9915
134	3662	9901
135	3690	9878
136	3717	9851
137	3744	9821
138	3771	9794
139	3795	9759
140	3821	9728
141	3846	9696
142	3866	9653
143	3887	9609
144	3912	9579
145	3935	9542
146	3959	9508
147	3983	9474
148	4009	9445
149	4033	9410
150	4059	9382
151	4088	9360
152	4114	9331
153	4140	9303
154	4164	9269
155	4187	9233
156	4215	9210
157	4239	9176
158	4265	9148
159	4290	9117
160	4316	9088
161	4343	9063
162	4374	9043
163	4402	9020
164	4429	8993
165	4451	8956
166	4472	8919
167	4495	8884
168	4520	8854
169	4546	8825
170	4570	8792
171	4611	8793
172	4641	8772
173	4667	8745
174	4696	8721
175	4722	8693
176	4748	8664
177	4776	8641
178	4801	8610
179	4825	8578
180	4848	8544
181	4872	8513
182	4892	8475
183	4921	8451
184	4945	8420
185	4971	8392
186	4999	8367
187	5026	8341
188	5050	8310
189	5079	8286
190	5102	8254
191	5125	8221
192	5147	8187
193	5172	8159
194	5199	8132
195	5223	8101
196	5246	8069
197	5272	8041
198	5299	8016
199	5324	7986
200	5350	7959
201	5377	7933
202	5402	7904
203	5427	7875
204	5453	7848
205	5477	7817
206	5500	7785
207	5526	7758
208	5553	7732
209	5579	7704
210	5604	7676
211	5631	7650
212	5656	7622
213	5681	7592
214	5706	7564
215	5731	7535
216	5755	7506
217	5778	7475
218	5804	7447
219	5828	7418
220	5851	7387
221	5874	7356
222	5898	7327
223	5920	7294
224	5945	7266
225	5966	7233
226	5990	7204
227	6019	7180
228	6043	7152
229	6069	7125
230	6093	7095
231	6124	7074
232	6149	7046
233	6179	7024
234	6209	7002
235	6234	6973
236	6257	6943
237	6280	6913
238	6307	6887
239	6332	6860
240	6359	6834
241	6386	6809
242	6413	6783
243	6442	6759
244	6471	6735
245	6499	6710
246	6526	6684
247	6551	6656
248	6581	6634
249	6610	6610
250	6636	6583
251	6660	6554
252	6682	6524
253	6708	6496
254	6735	6471
255	6760	6443
256	6788	6418
257	6815	6393
258	6846	6370
259	6876	6347
260	6905	6323
261	6933	6298
262	6964	6276
263	6989	6247
264	7017	6223
265	7046	6198
266	7073	6172
267	7097	6143
268	7122	6116
269	7149	6090
270	7175	6063
271	7197	6032
272	7223	6006
273	7249	5979
274	7274	5951
275	7304	5928
276	7328	5899
277	7355	5874
278	7388	5852
279	7415	5826
280	7441	5799
281	7468	5773
282	7494	5746
283	7521	5720
284	7551	5696
285	7576	5669
286	7607	5645
287	7645	5627
288	7675	5604
289	7704	5578
290	7738	5557
291	7766	5531
292	7792	5505
293	7818	5478
294	7842	5449
295	7866	5421
296	7893	5395
297	7918	5367
298	7946	5341
299	7973	5315
300	8003	5291
301	8036	5269
302	8082	5255
303	8115	5232
304	8137	5202
305	8160	5173
306	8187	5147
307	8211	5119
308	8237	5091
309	8262	5063
310	8285	5035
311	8313	5009
312	8337	4981
313	8361	4952
314	8391	4928
315	8422	4904
316	8453	4880
317	8490	4859
318	8524	4837
319	8557	4813
320	8581	4785
321	8607	4758
322	8634	4731
323	8657	4703
324	8682	4675
325	8707	4647
326	8733	4620
327	8759	4593
328	8781	4564
329	8802	4534
